Project Universal ID,Project Name,Builders,Parent Builder,Status,Master Plan Name,Master Plan Developer Name,Plan Name,Bedrooms,Bathrooms,Floors,Garages,Unit Size,List Price,Last Update Date,Plan Universal ID,Active Adult,ZIP Code,City,County,County Code,CBSA,CBSA Code,State,School District,School Attendance Zone (Elementary),School Ratings (Elementary),School Attendance Zone (Middle),School Ratings (Middle),School Attendance Zone (High),School Ratings (High),Boundary Names,Latitude,Longitude
aAf3x000001QX5cCAG,Chatham Village/Executive Collection,David Weekley Homes,,Active,,,Brunson,3,3.50,1,3,2848,977990,5/9/2026,aAaPc000000N5h1KAC,Non Active Adult,46074,Westfield,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Westfield-Washington Schools,Westfield Intermediate School; Monon Trail Elementary School,9; 6,Westfield Middle School,9,Westfield High School,10,,40.08057,-86.13476
aAf3x000001WmjKCAS,Sagebrook West/SF,M/I Homes,,Active,,,Cheswicke II Slab,3,2.00,1,2,2191,359990,3/30/2026,aAa3x000000UpY8CAK,Non Active Adult,46239,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Franklin Township Com Sch Corp,,,,,Franklin Central High School,9,,39.69289,-85.97854
aAfPc000001q6buKAA,Montelena,M/I Homes,,Upcoming,,,T1600 Plan,2,3.00,3,2,1716,309990,4/28/2026,aAaPc000001EKJFKA4,Non Active Adult,46060,Noblesville,Hamilton,18057,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Noblesville Schools,Promise Road Elementary,7,Noblesville Middle School,8,Noblesville High School,10,,40.01439,-85.96833
aAf3x000001Qh4yCAC,Scottsdale Estates,Arbor Homes,Clayton Properties Group,Active,,,Aspen II,4,2.50,2,2,2176,332995,5/21/2026,aAaPc000001DcI0KAK,Non Active Adult,46143,Greenwood,Johnson,18081,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Clark-Pleasant Com School Corp,Pleasant Crossing Elementary,7,Clark Pleasant Middle School,7,Whiteland Community High School,5,,39.55660,-86.14305
aAf3x000001WVQKCA4,Colere/TH,Onyx+East,,Active,,,Colere English,2,2.50,4,2,1530,394900,4/25/2026,aAa3x000000U2T1CAK,Non Active Adult,46203,Indianapolis,Marion,18097,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Indianapolis Public Schools,Thomas D. Gregg School 15; Brookside School 54,4; 4,Arlington Community Middle School,5,Arsenal Technical High School; George Washington Community High School...,1; 1,,39.75991,-86.13602
aAf3x000001WYwxCAG,Woodfield Pointe,Arbor Homes,Clayton Properties Group,Active,,,Ironwood,3,2.50,2,2,1968,282995,5/15/2026,aAa3x000000ZbxZCAS,Non Active Adult,46140,Greenfield,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Greenfield-Central Com Schools,Weston Elementary School; Greenfield Intermediate School,5; 5,Greenfield Central Junior High School,6,Greenfield-Central High School,7,,39.78944,-85.81685
aAf3x000001QWMGCA4,Haven Ponds,Silverthorne Homes,Clayton Properties Group,Active,,,Arthur,4,2.50,2,0,2606,382995,5/12/2026,aAaPc00000096lpKAA,Non Active Adult,46055,McCordsville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.92797,-85.89899
aAf2T000001ULX7SAO,Mt Vernon North,D.R. Horton,"D.R. Horton, Inc.",Active,,,Stamford,4,2.50,2,2,2346,367900,4/25/2026,aAaPc000000VPZ3KAO,Non Active Adult,46040,Fortville,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,Fortville Elementary School,7,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91192,-85.84315
aAfPc000001RqDMKA0,Rockport,M/I Homes,,Active,,,Drake,4,2.50,2,3,2889,481990,5/22/2026,aAaPc000000hE3QKAU,Non Active Adult,46055,Vernon,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91552,-85.92644
aAfPc000001rcOLKAY,Welford at Easton Grey/Manors,Drees Homes,,Upcoming,,,CRESTVIEW,5,3.00,2,2,3146,559900,4/12/2026,aAaPc0000015fCxKAI,Non Active Adult,46123,Avon,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Avon Community School Corp,River Birch Elementary; Avon Intermediate School East,8; 6,Avon Middle School North,10,Avon High School,10,,39.77407,-86.43379
aAfPc000001L7hZKAS,Easton/Northern,Lennar,,Active,,,Briarwood,2,2.00,1,2,1372,299995,5/7/2026,aAaPc000000elILKAY,Active Adult,46123,Avon,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Avon Community School Corp,River Birch Elementary; Avon Intermediate School East,8; 6,Avon Middle School North,10,Avon High School,10,,39.76793,-86.43780
aAfPc000001gqrQKAQ,Westfall Place,Arbor Homes,Clayton Properties Group,Active,,,Spruce,4,2.50,2,2,2343,297995,5/16/2026,aAaPc000000wGXtKAM,Non Active Adult,46071,Thorntown,Boone,18011,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Western Boone County Com Sch District,,,Western Boone Jr-Sr High School,6,Western Boone Jr-Sr High School,6,,40.12700,-86.62602
aAfPc000001RqDMKA0,Rockport,M/I Homes,,Active,,,Ainsley II,4,2.50,2,2,3141,511990,5/22/2026,aAaPc000000hE3LKAU,Non Active Adult,46055,Vernon,Hancock,18059,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Mt Vernon Community Sch Corp,McCordsville Elementary School,6,Mt Vernon Middle School,6,Mt Vernon High School,8,,39.91552,-85.92644
aAf3x000001WkacCAC,Trescott,Pulte Homes,PulteGroup Inc.,Active,,,Westchester,4,2.50,2,3,3300,420990,5/13/2026,aAa3x000000ZfqfCAC,Non Active Adult,46168,Plainfield,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Plainfield Community Sch Corp,Clarks Creek Elementary,5,Plainfield Com Middle School,8,Plainfield High School,9,,39.67374,-86.40810
aAfPc000001LR7tKAG,Easton/Central,Lennar,,Active,,,Monroe,2,2.00,1,2,1915,389995,4/25/2026,aAaPc000000elIIKAY,Active Adult,46123,Avon,Hendricks,18063,"Indianapolis-Carmel-Greenwood, IN",26900,IN,Avon Community School Corp,River Birch Elementary; Avon Intermediate School East,8; 6,Avon Middle School North,10,Avon High School,10,,39.76793,-86.43780
